50
(69, -1557)
(-4656, 359)
(-356, 2553)
(1754, 4419)
(1606, 923)
(-1981, 2071)
(-2747, 4057)
(-2700, -1406)
(-679, 1947)
(-1909, 2085)
(-2924, -4833)
(-4399, -3814)
(-4702, -340)
(-4973, -2846)
(2894, 4482)
(1149, 1076)
(-4062, 4157)
(4150, -2338)
(4933, 1112)
(-1931, -2926)
(-2160, -3813)
(-89, -2191)
(-796, -718)
(3269, -2165)
(274, 2474)
(-671, 447)
(1855, -276)
(-1362, -4579)
(-554, 382)
(-3002, -4634)
(343, 1411)
(1633, 3890)
(-3890, -4091)
(-1574, -4657)
(525, -1110)
(-3361, -97)
(-362, -4486)
(4754, 1888)
(1421, -15)
(-2321, -3928)
(-4444, -4319)
(1742, -430)
(-2762, 4455)
(2271, 3184)
(4803, -3930)
(3287, -1410)
(1757, -3174)
(1024, -1929)
(-260, -3035)
(-1554, 974)
